Date,City,State,Fatalities,Year,Latitude,Longitude
3/27/90,Brooklyn,New York,0,1990,40.6781784,-73.9441579
5/20/90,Centerville,Tennessee,1,1990,39.6283928,-84.15938179999999
8/26/90,Las Vegas,Nevada,1,1990,36.1699412,-115.1398296
9/11/90,San Antonio,Texas,0,1990,29.4241219,-98.49362819999999
1/8/91,Richardson,Texas,0,1991,32.9483335,-96.7298519
2/6/91,Donna,Texas,1,1991,26.1703525,-98.05194999999999
4/23/91,Compton,California,1,1991,33.8958492,-118.2200712
9/18/91,Crosby,Texas,1,1991,36.17316170000001,-95.9453106
10/8/91,Bronx,New York,1,1991,40.8447819,-73.8648268
11/1/91,Iowa City,Iowa,6,1991,41.6611277,-91.5301683
11/14/91,Houston,Texas,0,1991,29.7604267,-95.3698028
11/25/91,Brooklyn,New York,1,1991,40.6781784,-73.9441579
12/12/91,Kent,Ohio,1,1991,41.1536674,-81.3578859
1/29/92,Kent,Ohio,0,1992,41.1536674,-81.3578859
2/26/92,Brooklyn,New York,2,1992,40.6781784,-73.9441579
5/1/92,Olivehurst,California,3,1992,39.0954484,-121.5521858
5/14/92,Napa,California,0,1992,36.1614216,-95.904057
9/11/92,Lincoln,Texas,0,1992,40.813616,-96.7025955
10/12/92,Lincoln,Nebraska,0,1992,40.813616,-96.7025955
10/12/92,Tucson,Arizona,1,1992,32.2226066,-110.9747108
10/19/92,The Bronx,New York,0,1992,40.8447819,-73.8648268
11/4/92,Detroit,Michigan,0,1992,42.331427,-83.0457538
11/10/92,Chicago,Illinois,0,1992,41.8781136,-87.6297982
11/13/92,Houston,Texas,1,1992,29.7604267,-95.3698028
11/16/92,Birmingham,Alabama,1,1992,33.5206608,-86.80248999999999
11/20/92,Chicago,Illinois,1,1992,41.8781136,-87.6297982
11/23/92,Buffalo,New York,0,1992,42.88644679999999,-78.8783689
12/3/92,Chicago,Illinois,1,1992,41.8781136,-87.6297982
12/14/92,Great Barrington,Massachusetts,2,1992,42.1959798,-73.362008
12/14/92,Great Barrington,Massachusetts,2,1992,42.1959798,-73.362008
1/6/93,Brentwood,New York,0,1993,34.0521011,-118.4732464
1/8/93,Kinzers,Pennsylvania,1,1993,39.998466,-76.0615923
1/12/93,Miami,Florida,1,1993,25.7616798,-80.1917902
1/18/93,Grayson,Kentucky,2,1993,33.7062406,-96.663812
1/21/93,Los Angeles,California,1,1993,34.0522342,-118.2436849
2/1/93,Redmond,Washington,1,1993,47.6739881,-122.121512
2/1/93,Amityville,New York,1,1993,40.6789893,-73.4170673
2/4/93,Clayton County,Georgia,1,1993,33.5571944,-84.375233
2/8/93,Middle River,Minnesota,1,1993,39.3342744,-76.4394056
2/8/93,Washington DC,District of Columbia,1,1993,38.9071923,-77.0368707
2/18/93,Dallas,Texas,1,1993,32.7766642,-96.79698789999999
2/22/93,Los Angeles,California,1,1993,34.0522342,-118.2436849
2/26/93,Gloucester,Massachusetts,0,1993,42.6159285,-70.6619888
3/18/93,Harlem,Georgia,1,1993,40.8115504,-73.9464769
3/25/93,St. Louis,Missouri,1,1993,38.6270025,-90.19940419999999
4/3/93,Sacramento,California,1,1993,38.5815719,-121.4943996
4/14/93,Irving,Texas,1,1993,32.8140177,-96.9488945
4/15/93,Acushnet,Massachusetts,1,1993,41.7223696,-70.89523369999999
4/16/93,Sacramento,California,1,1993,38.5815719,-121.4943996
4/26/93,Raleigh,North Carolina,1,1993,35.7795897,-78.6381787
5/14/93,Irving,Texas,1,1993,32.8140177,-96.9488945
5/24/93,Red Hill,Pennsylvania,1,1993,37.031918,-78.89792899999999
5/24/93,Pennsburg,Pennsylvania,1,1993,40.3909328,-75.4921248
5/27/93,New Orleans,Louisiana,1,1993,29.95106579999999,-90.0715323
7/8/93,Ogden,Utah,1,1993,41.223,-111.9738304
8/31/93,Atlanta,Georgia,1,1993,33.7489954,-84.3879824
9/2/93,Dallas,Texas,1,1993,32.7766642,-96.79698789999999
9/17/93,Sheridan,Wyoming,1,1993,44.7971939,-106.9561791
10/12/93,New Castle,Delaware,1,1993,41.1889606,-73.78308609999999
10/14/93,Detroit,Michigan,1,1993,42.331427,-83.0457538
11/1/93,Chicago,Illinois,1,1993,41.8781136,-87.6297982
11/4/93,Jacksonville,Florida,1,1993,30.3321838,-81.65565099999999
11/4/93,New Britain,Connecticut,1,1993,41.6612104,-72.7795419
11/5/93,Bay Springs,Mississippi,1,1993,31.9790425,-89.2872843
11/29/93,Kansas City,Missouri,1,1993,39.0997265,-94.5785667
12/1/93,Wauwatosa,Wisconsin,1,1993,43.0494572,-88.0075875
12/8/93,Savannah,Georgia,1,1993,32.0835407,-81.09983419999999
12/17/93,Chelsea,Michigan,1,1993,36.4038714,-93.73700149999999
1/20/94,Kennard,Texas,0,1994,31.3596258,-95.1832721
1/20/94,Hacienda Heights,California,1,1994,33.9930677,-117.9686755
1/24/94,Columbia,South Carolina,1,1994,37.09024,-95.712891
1/26/94,Columbia,South Carolina,1,1994,37.09024,-95.712891
1/31/94,Seattle,Washington,1,1994,47.6062095,-122.3320708
2/8/94,Detroit,Michigan,1,1994,42.331427,-83.0457538
2/14/94,Belmont,California,1,1994,36.1328981,-86.7940699
2/18/94,Spartanburg,South Carolina,0,1994,34.9495672,-81.9320482
3/1/94,Boonville,Missouri,2,1994,39.0089749,-123.3671551
3/15/94,Charleston,South Carolina,1,1994,32.7764749,-79.93105120000001
3/22/94,Riveria Beach,Florida,0,1994,26.7753405,-80.0580969
3/23/94,Seattle,Washington,1,1994,47.6062095,-122.3320708
3/25/94,Woodstock,Georgia,0,1994,42.0409247,-74.1181971
4/12/94,Butte,Montana,1,1994,46.0038232,-112.5347775
4/13/94,Los Angeles,California,0,1994,34.0522342,-118.2436849
4/21/94,Nashville,Tennessee,1,1994,36.1626638,-86.7816016
5/2/94,North Miami,Florida,1,1994,25.8900949,-80.1867138
5/25/94,Union,Kentucky,4,1994,34.1469979,-118.1496377
7/25/94,Ottumwa,Iowa,1,1994,41.01602930000001,-92.40830220000001
9/7/94,Hollywood,California,1,1994,34.0928092,-118.3286614
10/12/94,Greensboro,North Carolina,1,1994,36.0726354,-79.7919754
10/17/94,Chicago,Illinois,0,1994,41.8781136,-87.6297982
11/5/94,San Leandro,California,1,1994,37.7249296,-122.1560768
11/7/94,Wickliffe,Ohio,1,1994,41.6053266,-81.4534492
11/15/94,Tacoma,Washington,1,1994,47.2528768,-122.4442906
12/14/94,Albany,New York,0,1994,42.6525793,-73.7562317
1/5/95,Washington DC,District of Columbia,1,1995,38.9071923,-77.0368707
1/10/95,Palm Beach Gardens,Florida,0,1995,26.8233946,-80.13865469999999
1/12/95,Seattle,Washington,0,1995,47.6062095,-122.3320708
1/23/95,Redlands,California,1,1995,34.0555693,-117.1825381
1/26/95,Chapel Hill,North Carolina,2,1995,35.9131996,-79.0558445
2/2/95,Long Beach,California,1,1995,33.7700504,-118.1937395
8/29/95,Laredo,Texas,1,1995,27.5305671,-99.48032409999999
9/12/95,Memphis,Tennessee,1,1995,35.1495343,-90.0489801
9/14/95,Olathe,Kansas,2,1995,38.8813958,-94.81912849999999
9/29/95,Tavares,Florida,1,1995,28.8041579,-81.725632
10/12/95,Blackville,South Carolina,2,1995,33.3579297,-81.2706606
11/15/95,Lynnville,Tennessee,2,1995,35.3767432,-87.0061171
11/28/95,queens,New York,1,1995,40.7282239,-73.7948516
1/19/96,District of Columbia,District of Columbia,1,1996,38.9071923,-77.0368707
1/19/96,Washington,D.C.,1,1996,38.9071923,-77.0368707
1/26/96,memphis,Tennessee,1,1996,35.1495343,-90.0489801
2/2/96,Moses Lake,Washington,3,1996,47.1301417,-119.2780771
2/8/96,Palo Alto,California,1,1996,37.4418834,-122.1430195
2/29/96,St. Louis,Missouri,1,1996,38.6270025,-90.19940419999999
3/11/96,New London,North Carolina,1,1996,41.3556539,-72.0995209
4/11/96,Talledega,Alabama,1,1996,33.4359416,-86.1058048
6/4/96,Hemet,California,1,1996,33.7475203,-116.9719684
8/15/96,San Diego,California,3,1996,32.715738,-117.1610838
8/26/96,San Antonio,Texas,1,1996,29.4241219,-98.49362819999999
9/17/96,State College,Pennsylvania,1,1996,40.7933949,-77.8600012
9/25/96,Decatur,Georgia,1,1996,33.7748275,-84.2963123
10/2/96,Philadelphia,Pennsylvania,2,1996,39.9525839,-75.1652215
10/4/96,Playa del Rey,California,1,1996,33.9564194,-118.4422317
10/9/96,Sherwood,Arkansas,1,1996,53.205875,-1.0860901
10/13/96,St. Louis,Missouri,1,1996,38.6270025,-90.19940419999999
10/16/96,West Lafayette,Indiana,1,1996,40.4258686,-86.90806549999999
11/27/96,Sacramento,California,1,1996,38.5815719,-121.4943996
1/11/97,Brooklyn,New York,1,1997,40.6781784,-73.9441579
1/27/97,West Palm Beach,Florida,1,1997,26.7153424,-80.0533746
1/31/97,Tulsa,Oklahoma,1,1997,36.1539816,-95.99277500000001
2/19/97,Bethel,Alaska,2,1997,40.6098473,-122.3584268
2/20/97,Jacksonville,Florida,1,1997,30.3321838,-81.65565099999999
3/18/97,Detroit,Michigan,1,1997,42.331427,-83.0457538
10/1/97,Pearl,Mississippi,3,1997,35.5292418,-97.5353883
10/14/97,Garland,Texas,1,1997,32.912624,-96.63888329999999
10/15/97,Palmetto,Florida,0,1997,27.5214269,-82.57231929999999
10/22/97,Norwalk,California,2,1997,41.11774399999999,-73.4081575
11/13/97,Sacramento,California,1,1997,38.5815719,-121.4943996
12/1/97,West Paducah,Kentucky,3,1997,37.0831102,-88.7442202
12/15/97,Stamps,Arkansas,0,1997,36.1268277,-95.9045483
2/25/98,Reed City,Michigan,1,1998,43.8750174,-85.5100498
3/1/98,Philadelphia,Pennsylvania,1,1998,39.9525839,-75.1652215
3/24/98,Jonesboro,Arkansas,5,1998,35.84229670000001,-90.704279
3/24/98,Craighead County,Arkansas,5,1998,35.8260959,-90.6773046
3/25/98,Coldwater,Michigan,1,1998,41.9403263,-85.00052149999999
3/30/98,Chapel Hill,North Carolina,0,1998,35.9131996,-79.0558445
4/24/98,Edinboro,Pennsylvania,1,1998,41.87422249999999,-80.1317236
4/28/98,Pomona,California,2,1998,34.055103,-117.7499909
5/1/98,Buffalo,New York,1,1998,42.88644679999999,-78.8783689
5/19/98,Fayetteville,Tennessee,1,1998,35.0526641,-78.87835849999999
5/21/98,Rialto,California,1,1998,34.1064001,-117.3703235
5/21/98,Springfield,Oregon,4,1998,37.2089572,-93.29229889999999
5/27/98,Pasadena,California,0,1998,34.1477849,-118.1445155
5/29/98,Fort Lauderdale,Florida,2,1998,26.1224386,-80.13731740000001
6/15/98,Richmond,Virginia,0,1998,37.5407246,-77.4360481
9/4/98,San Bernardino,California,2,1998,34.1083449,-117.2897652
9/12/98,Glendale,California,0,1998,34.1425078,-118.255075
12/10/98,Detroit,Michigan,1,1998,42.331427,-83.0457538
1/8/99,Carrollton,Georgia,1,1999,32.9756415,-96.8899636
1/21/99,North Richland Hills,Texas,1,1999,32.8342952,-97.2289029
2/11/99,Elgin,Illinois,0,1999,42.0354084,-88.2825668
4/16/99,Notus,Idaho,0,1999,43.7254385,-116.8012557
4/20/99,Littleton,Colorado,15,1999,39.613321,-105.0166498
4/23/99,Atlanta,Georgia,1,1999,33.7489954,-84.3879824
5/20/99,Conyers,Georgia,0,1999,33.6676103,-84.01769039999999
8/25/99,Monticello,Georgia,1,1999,38.0086043,-78.4531994
9/7/99,Plano,Texas,1,1999,33.0198431,-96.6988856
9/9/99,San Jose,California,1,1999,37.3382082,-121.8863286
11/19/99,Deming,New Mexico,1,1999,32.2686981,-107.7586404
12/6/99,Fort Gibson,Oklahoma,0,1999,35.7975986,-95.25051730000001
1/19/00,New Port Richey,Florida,0,2000,28.2441768,-82.7192671
2/29/00,Flint,Michigan,1,2000,43.0125274,-83.6874562
5/10/00,Sierra Vista,Arizona,2,2000,31.5455001,-110.2772856
5/26/00,Lake Worth,Florida,1,2000,26.6167555,-80.0684479
6/28/00,Seattle,Washington,2,2000,47.6062095,-122.3320708
7/26/00,Canton,Ohio,1,2000,44.602382,-75.183458
8/28/00,Fayetteville,Arkansas,2,2000,35.0526641,-78.87835849999999
9/5/00,Bidwell,Ohio,2,2000,38.9086715,-76.99779269999999
9/26/00,New Orleans,Louisiana,0,2000,29.95106579999999,-90.0715323
10/23/00,Los Angeles,California,1,2000,34.0522342,-118.2436849
10/26/00,Brooklyn,New York,1,2000,40.6781784,-73.9441579
10/27/00,Memphis,Tennessee,1,2000,35.1495343,-90.0489801
12/1/00,San Diego,California,0,2000,32.715738,-117.1610838
1/10/01,Oxnard,California,1,2001,34.1975048,-119.1770516
1/17/01,Baltimore,Maryland,1,2001,39.2903848,-76.6121893
1/29/01,Arlington,Texas,1,2001,38.8816208,-77.09098089999999
3/2/01,San Diego,California,0,2001,32.715738,-117.1610838
3/5/01,Santee,California,2,2001,32.8383828,-116.9739167
3/7/01,Williamsport,Pennsylvania,0,2001,41.2411897,-77.00107860000001
3/22/01,El Cajon,California,0,2001,32.7947731,-116.9625269
3/30/01,Gary,Indiana,1,2001,41.5933696,-87.3464271
4/3/01,Klein,Texas,0,2001,35.328543,-94.37207599999999
4/25/01,Cleveland,Ohio,1,2001,41.49932,-81.6943605
5/15/01,Ennis,Texas,0,2001,32.3293111,-96.6252679
5/16/01,Parkland,Washington,2,2001,26.3107774,-80.25322489999999
5/17/01,Pierce County,Washington,1,2001,47.0675877,-122.1295269
10/12/01,Taylorsville,Utah,0,2001,40.66772479999999,-111.9388258
11/12/01,Caro,Michigan,0,2001,43.4911322,-83.396897
1/15/02,New York City,New York,0,2002,40.7127753,-74.0059728
1/16/02,Grundy,Virginia,3,2002,41.3500531,-88.4016041
2/20/02,Milwaukee,Wisconsin,1,2002,43.0389025,-87.9064736
6/11/02,Conception,Missouri,3,2002,40.241315,-94.683151
7/26/02,Charlotte,North Carolina,1,2002,35.2270869,-80.8431267
10/4/02,San Antonio,Texas,1,2002,29.4241219,-98.49362819999999
10/7/02,Bowie,Maryland,0,2002,39.0067768,-76.77913649999999
10/28/02,Tucson,Arizona,4,2002,32.2226066,-110.9747108
10/29/02,Jersey City,New Jersey,0,2002,40.72815749999999,-74.0776417
11/7/02,Liberty,Missouri,1,2002,37.3529323,-79.17692819999999
12/16/02,Chicago,Illinois,1,2002,41.8781136,-87.6297982
3/23/03,Meridian,Mississippi,0,2003,37.09024,-95.712891
4/10/03,Walnut,California,0,2003,34.0202894,-117.8653386
4/14/03,New Orleans,Louisiana,1,2003,29.95106579999999,-90.0715323
4/17/03,Addison,Texas,1,2003,32.96179,-96.82916850000001
4/24/03,Red Lion,Pennsylvania,2,2003,40.72844370000001,-73.99952019999999
5/9/03,Cleveland,Ohio,1,2003,41.49932,-81.6943605
5/13/03,Johnstown,Pennsylvania,1,2003,40.32674069999999,-78.9219698
6/4/03,Wellsboro,Pennsylvania,0,2003,41.74868379999999,-77.3005304
7/15/03,Dallas,Texas,0,2003,32.7766642,-96.79698789999999
9/24/03,Cold Spring,Minnesota,2,2003,41.4200937,-73.954583
10/30/03,Washington,District Of Columbia,1,2003,38.9071923,-77.0368707
11/7/03,Sugar Land,Texas,1,2003,29.6196787,-95.6349463
1/21/04,Henderson,Nevada,1,2004,36.0395247,-114.9817213
2/2/04,District of Columbia,District Of Columbia,1,2004,38.9071923,-77.0368707
2/2/04,Washington,D.C.,1,2004,38.9071923,-77.0368707
2/9/04,East Greenbush,New York,0,2004,42.6068049,-73.68893779999999
2/11/04,Philadelphia,Pennsylvania,1,2004,39.9525839,-75.1652215
3/17/04,Joyce,Washington,0,2004,36.0694197,-94.17613089999999
5/7/04,Randallstown,Maryland,0,2004,39.3673278,-76.79525249999999
5/24/04,Salt Lake City,Utah,1,2004,40.7607793,-111.8910474
6/1/04,St Croix,Virgin Islands,1,2004,17.7245968,-64.83479919999999
8/30/04,Maywood,Illinois,1,2004,33.9866807,-118.185349
10/4/04,Memphis,Tennessee,0,2004,35.1495343,-90.0489801
11/22/04,Philadelphia,Pennsylvania,1,2004,39.9525839,-75.1652215
12/10/04,Nine Mile Falls,Washington,1,2004,47.7795103,-117.5515185
1/6/05,Philadelphia,Pennsylvania,1,2005,39.9525839,-75.1652215
2/8/05,Chicago,Illinois,0,2005,41.8781136,-87.6297982
3/2/05,Dover,Tennessee,1,2005,51.1278758,1.3134027
3/21/05,Red Lake,Minnesota,10,2005,47.876346,-95.0169401
5/17/05,Lower Allen Township,Pennsylvania,1,2005,40.2295342,-76.9184799
9/13/05,Chicago,Illinois,0,2005,41.8781136,-87.6297982
11/8/05,Jacksboro,Tennessee,1,2005,33.2184477,-98.15865579999999
1/13/06,Birmingham,Alabama,1,2006,33.5206608,-86.80248999999999
1/13/06,Longwood,Florida,0,2006,37.29717979999999,-78.3961973
2/23/06,Roseburg,Oregon,0,2006,43.216505,-123.3417381
3/14/06,Reno,Nevada,0,2006,39.5296329,-119.8138027
6/5/06,Venice,California,1,2006,45.4408474,12.3155151
8/24/06,Essex Junction,Vermont,2,2006,44.4905433,-73.11122069999999
8/30/06,Hillsborough,North Carolina,0,2006,27.9903597,-82.3017728
9/2/06,Shepherdstown,West Virginia,3,2006,39.4300996,-77.8041609
9/17/06,Pittsburgh,Pennsylvania,0,2006,40.44062479999999,-79.9958864
9/27/06,Bailey,Colorado,2,2006,36.3046232,-95.8529339
9/29/06,Cazenovia,Wisconsin,1,2006,42.9300668,-75.85269149999999
10/2/06,Nickel Mines,Pennsylvania,5,2006,39.9592143,-76.0804172
10/2/06,Nickel Mines,Pennsylvania,6,2006,39.9592143,-76.0804172
10/9/06,Joplin,Missouri,0,2006,37.08422710000001,-94.51328099999999
