Fiscal Year,Average Participation,Average Benefit Per Person 1],Total Benefits,All Other Costs 2],Total Costs
1969,2878.00,6.63,228.80,21.70,250.50
1970,4340.00,10.55,549.70,27.20,576.90
1971,9368.00,13.55,1522.70,53.20,1575.90
1972,11109.00,13.48,1797.30,69.40,1866.70
1973,12166.00,14.60,2131.40,76.00,2207.40
1974,12862.00,17.61,2718.30,119.20,2837.50
1975,17064.00,21.40,4385.50,233.20,4618.70
1976,18549.00,23.93,5326.50,359.00,5685.50
1977,17077.00,24.71,5067.00,394.00,5461.00
1978,16001.00,26.77,5139.20,380.50,5519.70
1979,17653.00,30.59,6480.20,459.60,6939.80
1980,21082.00,34.47,8720.90,485.60,9206.50
1981,22430.00,39.49,10629.90,595.40,11225.20
1982,21717.00,39.17,10208.30,628.40,10836.70
1983,21625.00,42.98,11152.30,694.80,11847.10
1984,20854.00,42.74,10696.10,882.60,11578.80
1985,19899.00,44.99,10743.60,959.60,11703.20
1986,19429.00,45.49,10605.20,1033.20,11638.40
1987,19113.00,45.78,10500.30,1103.90,11604.20
1988,18645.00,49.83,11149.10,1167.70,12316.80
1989,18806.00,51.71,11669.78,1231.81,12901.59
1990,20049.00,58.78,14142.79,1304.47,15447.26
1991,22625.00,63.78,17315.77,1431.50,18747.27
1992,25407.00,68.57,20905.68,1556.66,22462.34
1993,26987.00,67.95,22006.03,1646.94,23652.97
1994,27474.00,69.00,22748.58,1744.87,24493.45
1995,26619.00,71.27,22764.07,1856.30,24620.37
1996,25543.00,73.21,22440.11,1890.88,24330.99
1997,22858.00,71.27,19548.86,1958.68,21507.55
1998,19791.00,71.12,16890.49,2097.84,18988.32
1999,18183.00,72.27,15769.40,2051.52,17820.92
2000,17194.00,72.62,14983.32,2070.70,17054.02
2001,17318.00,74.81,15547.39,2242.00,17789.39
2002,19096.00,79.67,18256.20,2380.82,20637.02
2003,21250.00,83.94,21404.28,2412.01,23816.28
2004,23811.00,86.16,24618.89,2480.14,27099.03
2005,25628.00,92.89,28567.88,2504.13,31072.01
2006,26549.00,94.75,30187.35,2715.72,32903.06
2007,26316.00,96.18,30373.27,2800.25,33173.52
2008,28223.00,102.19,34608.40,3031.25,37639.64
2009,33490.00,125.31,50359.92,3260.00,53619.92
2010,40302.00,133.79,64702.16,3581.30,68283.47
2011,44709.00,133.85,71810.92,3875.62,75686.54
2012,46609.00,133.41,74619.34,3791.75,78411.10
2013,47636.00,133.07,76066.32,3792.74,79859.06
2014,46664.00,125.01,69998.84,4062.54,74061.37
2015,45767.00,126.81,69645.14,4302.11,73947.24
2016,44219.00,125.40,66539.35,4384.32,70923.67
2017,42203.00,125.80,63708.26,4392.46,68100.72